pair,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
USDCAD,long,2016-09-20,2016-12-02,1.320200,1.330690,0.007946,73,stop
USDCAD,short,2016-12-19,2016-12-22,1.333930,1.343180,-0.006934,3,stop
USDCAD,long,2017-01-10,2017-01-11,1.321410,1.324400,0.002263,1,stop
USDCAD,short,2017-01-16,2017-02-28,1.312600,1.318690,-0.004640,43,stop
USDCAD,long,2017-03-09,2017-04-13,1.348600,1.324250,-0.018056,35,stop
USDCAD,short,2017-06-12,2017-08-10,1.345610,1.269520,0.056547,59,stop
USDCAD,long,2017-10-18,2017-12-26,1.249800,1.271550,0.017403,69,stop
USDCAD,short,2018-01-01,2018-02-06,1.258080,1.253590,0.003569,36,stop
USDCAD,long,2018-02-27,2018-04-04,1.268400,1.280620,0.009634,36,stop
USDCAD,short,2018-04-18,2018-04-24,1.255830,1.284400,-0.022750,6,stop
USDCAD,long,2018-05-17,2018-07-09,1.278200,1.309590,0.024558,53,stop
USDCAD,short,2018-08-07,2018-08-17,1.300100,1.315950,-0.012191,10,stop
USDCAD,long,2018-10-31,2019-01-08,1.311400,1.329600,0.013878,69,stop
USDCAD,short,2019-01-25,2019-03-05,1.335050,1.331190,0.002891,39,stop
USDCAD,long,2019-03-13,2019-06-05,1.335700,1.339040,0.002501,84,stop
USDCAD,short,2019-06-14,2019-07-26,1.332730,1.315800,0.012703,42,stop
USDCAD,long,2019-08-15,2019-09-09,1.331000,1.316800,-0.010669,25,stop
USDCAD,short,2019-09-30,2019-10-03,1.323500,1.332830,-0.007049,3,stop
USDCAD,long,2019-10-09,2019-10-14,1.332140,1.319900,-0.009188,5,stop
USDCAD,short,2019-10-18,2019-11-08,1.313580,1.322710,-0.006950,21,stop
USDCAD,long,2019-11-27,2019-12-05,1.326900,1.319270,-0.005750,8,stop
