date,us_2y_pct,ca_2y_pct,rate_diff_pp,d_diff_pp,usdcad_close,usdcad_return,position,gross_return,cost,net_return,cum_gross,cum_net
2014-02-03,0.335600,0.968000,-0.632400,-0.028400,1.112230,-0.003012,1.000000,-0.003012,0.000000,-0.003012,4.425757,3.299614
2014-02-04,0.300000,0.960000,-0.660000,-0.027600,1.110700,-0.001376,-1.000000,0.001376,0.000450,0.000925,4.431845,3.302667
2014-02-05,0.316000,0.959000,-0.643000,0.017000,1.108300,-0.002161,-1.000000,0.002161,0.000000,0.002161,4.441421,3.309804
2014-02-06,0.316000,0.981000,-0.665000,-0.022000,1.107750,-0.000496,1.000000,-0.000496,0.000451,-0.000948,4.439218,3.306667
2014-02-07,0.324000,0.986000,-0.662000,0.003000,1.106890,-0.000776,-1.000000,0.000776,0.000452,0.000325,4.442664,3.307741
2014-02-10,0.307400,0.984000,-0.676600,-0.014600,1.103690,-0.002891,1.000000,-0.002891,0.000453,-0.003344,4.429821,3.296680
2014-02-11,0.311000,0.990000,-0.679000,-0.002400,1.105600,0.001731,-1.000000,-0.001731,0.000452,-0.002183,4.422155,3.289484
2014-02-12,0.335000,1.018000,-0.683000,-0.004000,1.100840,-0.004305,-1.000000,0.004305,0.000000,0.004305,4.441194,3.303647
2014-02-13,0.343000,1.019000,-0.676000,0.007000,1.099390,-0.001317,-1.000000,0.001317,0.000000,0.001317,4.447044,3.307998
2014-02-14,0.315000,1.019000,-0.704000,-0.028000,1.097730,-0.001510,1.000000,-0.001510,0.000455,-0.001965,4.440329,3.301497
2014-02-17,0.315000,1.019000,-0.704000,0.000000,1.097300,-0.000392,-1.000000,0.000392,0.000456,-0.000064,4.442068,3.301285
2014-02-18,0.318700,1.006000,-0.687300,0.016700,1.095600,-0.001549,0.000000,-0.000000,0.000228,-0.000228,4.442068,3.300532
2014-02-19,0.302000,0.987000,-0.685000,0.002300,1.095140,-0.000420,1.000000,-0.000420,0.000228,-0.000648,4.440203,3.298393
2014-02-20,0.319000,1.002000,-0.683000,0.002000,1.107000,0.010830,1.000000,0.010830,0.000000,0.010830,4.488289,3.334113
2014-02-21,0.323000,1.012000,-0.689000,-0.006000,1.110370,0.003044,1.000000,0.003044,0.000000,0.003044,4.501953,3.344263
2014-02-24,0.318200,1.032000,-0.713800,-0.024800,1.111200,0.000747,-1.000000,-0.000747,0.000450,-0.001197,4.498588,3.340259
