date,gb_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,gbpusd_close,gbpusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2022-10-11,4.182000,4.308000,-0.126000,-0.143445,1.107641,0.000332,1.000000,0.000332,0.000451,-0.000119,7.179024,3.726021
2022-10-12,4.004000,4.293000,-0.289000,-0.163000,1.096780,-0.009805,-1.000000,0.009805,0.000456,0.009349,7.249415,3.760857
2022-10-13,3.783000,4.466000,-0.683000,-0.394000,1.110556,0.012560,-1.000000,-0.012560,0.000000,-0.012560,7.158360,3.713619
2022-10-14,3.934000,4.498000,-0.564000,0.119000,1.130391,0.017860,-1.000000,-0.017860,0.000000,-0.017860,7.030511,3.647293
2022-10-17,3.544000,4.447000,-0.903000,-0.339000,1.124417,-0.005285,1.000000,-0.005285,0.000445,-0.005729,6.993356,3.626397
2022-10-18,3.564000,4.435000,-0.871000,0.032000,1.135396,0.009764,-1.000000,-0.009764,0.000440,-0.010205,6.925070,3.589390
2022-10-19,3.472000,4.561000,-1.089000,-0.218000,1.134430,-0.000851,1.000000,-0.000851,0.000441,-0.001292,6.919178,3.584754
2022-10-20,3.574000,4.612000,-1.038000,0.051000,1.121101,-0.011749,-1.000000,0.011749,0.000446,0.011303,7.000472,3.625273
2022-10-21,3.718000,4.479000,-0.761000,0.277000,1.122146,0.000931,1.000000,0.000931,0.000446,0.000486,7.006992,3.627034
2022-10-24,3.378000,4.509000,-1.131000,-0.370000,1.134469,0.010982,1.000000,0.010982,0.000000,0.010982,7.083941,3.666865
2022-10-25,3.323000,4.483000,-1.160000,-0.029000,1.130774,-0.003257,-1.000000,0.003257,0.000442,0.002814,7.107010,3.677185
2022-10-26,3.280000,4.408000,-1.128000,0.032000,1.146224,0.013663,-1.000000,-0.013663,0.000000,-0.013663,7.009907,3.626943
2022-10-27,3.084000,4.280000,-1.196000,-0.068000,1.163819,0.015351,1.000000,0.015351,0.000430,0.014921,7.117515,3.681062
2022-10-28,3.227000,4.424000,-1.197000,-0.001000,1.156604,-0.006199,-1.000000,0.006199,0.000432,0.005767,7.161639,3.702291
2022-10-31,3.274000,4.487000,-1.213000,-0.016000,1.159595,0.002586,-1.000000,-0.002586,0.000000,-0.002586,7.143120,3.692717
